ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
PANL,0.0826,83.7160,1.7600,1.2510,65691392.0000,536536256.0000,0.1469,0.1006,0.1928,1.0000,0.6020,0.6300,260216608.0000,7.9810,0.4850,0.6349,0.6190,65628400.0000,32863440.0000,11.6000,,39.5937,-1.5978,-56.2143,3.1746,4.3833,95816.6667,-64.4165,0.2916,2.7209
CE,-0.2498,232.7340,1.9370,1.0120,,10058000384.0000,0.1694,0.0611,0.2336,2.6316,1.0254,-13.8600,5432361984.0000,10.2400,0.5401,0.2789,,111754000.0000,100493746.0000,-8.5000,1.3080,35.7351,0.7264,-16.5032,1.6713,3.5164,1713510.0000,-72.1905,1.7051,1.2750
CELH,0.1255,1.6540,3.6240,3.1750,262898000.0000,1355629952.0000,0.1205,-0.0548,0.5018,2.0500,20.0705,0.4500,8804193280.0000,48.5180,6.4945,0.0000,1.6340,257734000.0000,149424946.0000,-4.4000,,104.6998,-0.5483,-56.1250,4.0775,8.7644,1080353.3333,-65.1774,0.7230,2.7151
ATMU,0.9548,237.3160,2.2270,1.3240,142300000.0000,1659500032.0000,0.1775,0.1561,0.2891,1.7143,11.1857,2.2200,2967220992.0000,11.7060,1.7880,0.0676,,82663904.0000,77581747.0000,-2.4000,2.1849,44.8679,-0.6546,-35.7377,2.0661,3.8432,349910.0000,-68.5853,0.4510,1.8963
PCT,-0.9627,234.3330,0.5930,0.1730,-144826000.0000,,0.0000,0.0000,0.0000,,6.3125,-1.7500,1177839744.0000,-14.0880,,0.0000,1.7270,179412000.0000,164390390.0000,,,84.3910,0.0786,-57.0769,5.7311,6.2959,530483.3333,-58.4067,0.3227,4.2305
BA,,,1.2320,0.3480,-10334000128.0000,69444001792.0000,-0.1107,0.0277,-0.0179,2.0000,-41.8186,-17.9600,139400642560.0000,-22.4800,2.0074,0.0000,1.4050,754006016.0000,722216603.0000,17.7000,4.3291,72.4473,-1.2450,-44.2341,2.7115,8.7690,10228310.0000,-61.2929,1.4162,2.4006
CWST,0.0100,79.2730,1.9560,1.7730,323799008.0000,1633376000.0000,0.2164,0.0208,0.3406,2.0000,4.8796,0.2200,7548337152.0000,23.9320,4.6213,0.0000,0.8950,62475200.0000,62070417.0000,22.3000,,24.4418,0.9579,-16.5096,1.1031,2.7495,1516443.3333,-53.8855,2.4431,2.0654
CR,0.1817,14.7740,2.0830,1.3710,306500000.0000,2178599936.0000,0.1874,0.1741,0.4125,1.6667,5.4225,4.9200,9527373824.0000,23.1390,4.3732,0.1717,1.3050,57501200.0000,48717307.0000,9.3000,,68.5001,-0.6739,-33.0845,2.7113,7.5113,1516800.0000,-62.6833,3.1135,1.7573
BV,0.0415,49.6840,1.4310,1.2210,239900000.0000,2739599872.0000,0.1132,-0.0010,0.2331,,1.0837,0.2700,1371379968.0000,8.5830,0.5006,0.0000,1.2450,95500000.0000,57988555.0000,-4.4000,,90.0793,-0.4190,-84.8784,5.2938,9.0773,4945063.3333,140.9356,8.5277,15.0772
AMAT,0.3519,35.3720,2.6750,1.8370,7277000192.0000,27634999296.0000,0.3069,0.3035,0.4773,1.7895,6.6905,7.6500,124612206592.0000,14.6190,4.5092,0.1987,1.7050,812441024.0000,809256081.0000,6.8000,11.9872,69.0288,0.5224,-48.3142,2.4788,6.7020,9706566.6667,-73.8146,1.1994,1.3898
AM,0.1971,148.9550,1.4150,1.3850,832374976.0000,1188942976.0000,0.7389,0.5766,0.8142,3.3750,3.9697,0.8600,8290488320.0000,,6.9730,1.0465,0.9700,479219008.0000,335649780.0000,4.1000,,73.5079,-1.1966,-47.7835,3.7407,6.3410,2699340.0000,-65.8871,0.8042,4.9069
SARO,0.0062,102.2160,1.9510,1.2640,76330000.0000,5237160960.0000,0.1130,0.0671,0.1440,,3.8811,0.0400,9211083776.0000,19.5600,1.7588,0.0000,,334462016.0000,107295291.0000,21.8000,,62.0677,-1.6408,-55.5556,3.0940,5.6133,3585290.0000,-48.8481,3.3415,2.2032
RGNX,-0.7949,54.5810,2.6940,2.5930,-173124992.0000,83328000.0000,-2.5805,-2.4214,0.5972,,1.6899,-4.5900,443785120.0000,-1.8410,5.3258,0.0000,1.1150,50116900.0000,38427588.0000,-4.5000,237.4847,54.4622,-0.9333,-52.0566,3.0796,4.8948,397486.6667,-68.5109,1.0344,2.7561
JELD,-0.5332,277.0590,1.8680,0.9880,33714000.0000,3592492032.0000,0.0328,-0.0421,0.1733,3.3000,0.8209,-2.2100,380303744.0000,13.8230,0.1059,0.0000,,85365600.0000,84160729.0000,-19.1000,,60.0675,-1.7742,-54.9516,2.5410,6.2181,293593.3333,-55.3178,0.3488,3.1798
ETR,0.0885,199.4930,0.8250,0.4600,4503605760.0000,11931898880.0000,0.4518,0.2489,0.4999,2.0500,2.3778,3.0900,36107476992.0000,12.2590,3.0261,0.7540,0.6030,430774016.0000,429119936.0000,1.9000,,76.2844,-0.1211,-44.9972,3.2186,8.1028,3378153.3333,-60.4076,0.7872,2.4810
PLL,-0.2054,10.4460,2.2260,2.1810,-42907000.0000,99877000.0000,-0.2085,0.0350,0.1081,2.2000,54.3796,-3.3000,163479072.0000,-4.5990,1.6368,0.0000,-0.1490,21943500.0000,20403964.0000,-723.6115,,69.6421,-1.2699,-52.8799,2.6823,7.0915,208456.6667,-61.3631,1.0216,7.0909
