ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue
OGE,0.10718001,127.575,0.73,0.283,745699968.0,3136199936.0,0.41869,0.1748,0.46687,2.61538,1.9753772,2.41,9117731840.0,11.385,2.9072547,0.6979,0.607,201330000.0,200198719.0,25.3,
ONTO,0.11013,0.787,8.687,6.823,245676000.0,987321024.0,0.25261,0.15112,0.52193,1.44444,3.10835,4.06,5937541632.0,21.216,6.01379,0.0,1.553,48836500.0,48910583.0,20.599999999999998,13.21934234804254
PLTR,0.12357,4.432,6.494,6.363,1334548992.0,3115023872.0,0.13976,0.19917999,0.8001,3.12,46.180164,0.19,251613741056.0,656.048,80.77426,0.0,,2262680064.0,2168347426.0,39.300000000000004,20.724841363159033
DAN,-0.0110599995,188.44,1.425,0.766,515000000.0,9900999680.0,0.073020004,0.03529,0.08605,2.125,1.5296417,-0.24,2109572224.0,6.843,0.2130666,4.4444,2.065,145739008.0,144162385.0,-14.000000000000002,
FIGS,0.00722,14.06,4.246,2.815,81162000.0,555558016.0,0.01613,0.05862,0.67612,3.1,2.0374355,0.02,769532224.0,60.373,1.3851519,0.0,1.197,154236000.0,149055413.0,4.8,
DAY,0.00732,48.419,1.126,0.159,281100000.0,1760000000.0,0.13653,0.052020002,0.5071,1.95,3.6792805,0.11,9324796928.0,41.341,5.29818,0.0,1.172,158262000.0,144305547.0,16.400000000000002,
NTLA,-0.54005,24.106,5.772,5.503,-348880000.0,57877000.0,0.0,-10.59865,0.0,1.65517,0.8688276,-5.25,769103808.0,-0.921,13.295213,0.0,2.333,103583000.0,97913025.0,-771.5701617110068,907.8530371290974
UTHR,0.19937,2.938,5.461,5.05,1411800064.0,2994099968.0,0.51932,0.48313,0.89002,2.0,1.929533,25.09,13144062976.0,6.658,4.389988,0.0,0.583,45106600.0,41518842.0,17.2,18.756294058408862
OSW,0.12804,20.918,1.734,0.907,73951000.0,903422976.0,0.1166,0.08804,0.12878,1.0,3.532714,0.63,1874220288.0,18.705,2.0745766,0.19049999,1.36,102697000.0,94583126.0,4.0,
ITOS,-0.23684,0.897,14.133,13.78,-99545000.0,35000000.0,0.0,-4.28306,1.0,1.5,0.44627088,-3.05,251458880.0,1.617,7.1845393,0.0,1.393,38273800.0,29227018.0,,
MODG,-0.46062002,185.409,1.938,0.867,382000000.0,4239300096.0,0.11259,-0.00909,0.31784,2.63636,0.51673007,-7.88,1248574464.0,11.037,0.29452372,0.0,1.257,183748992.0,139876411.0,3.0,2.1527477282561662
PNTG,0.106400006,87.539,1.208,1.04,39298000.0,695240000.0,0.06264,0.04926,0.20924999,2.25,3.1382978,0.7,914166912.0,27.281,1.314894,0.0,1.561,34431900.0,30655429.0,29.4,
ASO,0.21141,89.148,1.78,0.318,528081984.0,5933450240.0,0.10948,0.08802,0.33900002,2.10526,1.2759138,5.73,2489425152.0,6.204,0.41955778,0.076799996,1.292,66526600.0,65982905.0,-6.6000000000000005,
RXRX,-0.86101997,9.948,4.114,3.85,-388831008.0,59790000.0,0.0,-12.978499,0.0,2.625,1.8676676,-1.8,1744636032.0,-2.906,29.179396,0.0,0.984,399656992.0,387384495.0,6.9,874.8414090970442
CMPR,,,0.653,0.367,315692992.0,3366206976.0,0.090950005,0.051939998,0.47801,1.5,-1.7808707,5.83,993161664.0,8.286,0.2950388,0.0,1.82,24878800.0,14719774.0,1.0999999999999999,10.52759579868975
BEAM,-0.43938,22.006,4.823,4.673,-347246016.0,63518000.0,0.0,-3.3271399,0.0,1.5,1.9022099,-4.58,1731088768.0,-2.333,27.253515,0.0,2.348,100557000.0,73221730.0,-90.5,337.39315528652673
JCI,0.08182,65.324,1.019,0.619,2591000064.0,23168999424.0,0.14429,0.09712,0.355,2.13043,3.6877313,2.13,58593939456.0,20.997,2.5289803,0.6948,1.298,660139008.0,658024450.0,4.2,
KLIC,0.0031299999,3.863,5.994,4.648,57270000.0,701166976.0,0.06856,0.06418,0.47949,,1.7679436,0.11,1714668288.0,25.963,2.4454494,7.3182,1.544,53383200.0,51521697.0,-3.0,22.75890298812935
LRCX,0.53138,47.148,2.452,1.581,4481505792.0,17135705088.0,0.33071998,0.33087003,0.48056,1.63636,9.904222,3.59,93912989696.0,16.512,5.480544,0.24790001,1.653,1279120000.0,1274372472.0,24.4,11.14162080855053
LIVN,0.04868,51.261,2.875,1.586,183038000.0,1253437056.0,0.16570999,0.11051,0.69583,,1.4587108,1.16,1932065152.0,10.687,1.5414138,0.0,0.845,54524200.0,51092833.0,3.8,13.456793959543859
APA,0.22242,100.865,1.152,0.874,3620000000.0,9472000000.0,0.59428,0.33168,0.69183,2.89655,1.0944637,2.27,5719715840.0,2.224,0.60385513,0.4405,1.19,361664000.0,362152978.0,24.5,
CHE,0.26106,12.275,1.729,1.582,365692000.0,2488997120.0,0.18011999,0.14647001,0.34819,1.33333,7.0866375,20.51,8406403072.0,18.663,3.377426,0.0926,0.592,14629500.0,14331532.0,9.8,
PLMR,0.20759001,,0.578,0.277,,609961024.0,0.28326,0.30806,0.30776,1.875,5.2445374,4.48,4145451520.0,23.4,6.7962565,0.0,,26734500.0,26096964.0,47.3,
MFA,0.06374,499.324,30.45,29.613,200120000.0,279608000.0,0.0,0.08247,0.87373,,0.5229767,0.82,968479680.0,,3.4637053,1.7073,1.769,102653000.0,101043376.0,-67.5,
ARI,0.00557,366.276,9.7,9.65,186730000.0,276844000.0,0.0,0.37809,0.70179003,2.66667,0.6982385,-0.05,1299821056.0,,4.695139,28.0,1.547,138944000.0,129806885.0,-18.983183048323625,
