iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMC","MARSH & MCLENNAN INC","Financials","Equity","30,234,633.65","0.21","30,234,633.65","133,445.00","226.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","29,429,108.10","0.20","29,429,108.10","73,371.00","401.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","28,989,945.85","0.20","28,989,945.85","347,393.00","83.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","28,392,073.50","0.19","28,392,073.50","153,057.00","185.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","28,230,230.87","0.19","28,230,230.87","126,101.00","223.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","27,567,425.61","0.19","27,567,425.61","62,163.00","443.47","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","27,474,156.48","0.19","27,474,156.48","97,233.00","282.56","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","27,431,296.47","0.19","27,431,296.47","458,181.00","59.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","27,366,400.32","0.19","27,366,400.32","546,672.00","50.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","26,929,767.45","0.18","26,929,767.45","295,769.00","91.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","26,871,375.04","0.18","26,871,375.04","56,984.00","471.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","26,674,613.60","0.18","26,674,613.60","153,320.00","173.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","26,533,233.12","0.18","26,533,233.12","134,196.00","197.72","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","26,532,738.96","0.18","26,532,738.96","194,936.00","136.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","26,230,224.57","0.18","26,230,224.57","249,029.00","105.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","26,079,529.80","0.18","26,079,529.80","62,646.00","416.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","25,668,647.36","0.17","25,668,647.36","347,296.00","73.91","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","25,516,272.83","0.17","25,516,272.83","108,677.00","234.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","25,497,988.33","0.17","25,497,988.33","318,049.00","80.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","25,159,756.05","0.17","25,159,756.05","39,457.00","637.65","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","25,147,692.72","0.17","25,147,692.72","278,244.00","90.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","25,143,893.25","0.17","25,143,893.25","208,231.00","120.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","25,127,279.19","0.17","25,127,279.19","166,483.00","150.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","24,932,186.22","0.17","24,932,186.22","305,317.00","81.66","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","24,858,606.24","0.17","24,858,606.24","35,856.00","693.29","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","24,589,389.90","0.17","24,589,389.90","61,031.00","402.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
